Tijd;ID;Veld;Oud;Nieuw;Status
11:01:35;1075;Onderhoudsproject;;N351-HRB-00.0-00.3;Succes
11:12:17;24704;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24838;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24843;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24846;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24719;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24849;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24722;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24851;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24854;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24855;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24856;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24862;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24735;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24864;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24737;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24867;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24868;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24873;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24875;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24766;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24776;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24782;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24805;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24808;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24812;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24817;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24824;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24825;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24827;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24828;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24702;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;24831;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;121;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;730;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;793;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;1091;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;1126;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;1214;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;1269;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:12:17;1380;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-00.3-01.8;Succes
11:13:25;24744;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;24878;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;24783;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;24819;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;24728;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;24863;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;142;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;472;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;484;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;1003;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;1040;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:13:25;68;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-01.8-02.0;Succes
11:16:04;24832;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;25089;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24834;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24833;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24835;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24837;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24839;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24840;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24841;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24842;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24844;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24720;Onderhoudsproject;N351-HRB-05.1-05.3;N351-HRB-02.0-05.2;Succes
11:16:04;25105;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24848;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24850;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24852;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24853;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24857;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24858;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24861;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24865;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24994;Onderhoudsproject;N351-HRB-05.1-05.3;N351-HRB-02.0-05.2;Succes
11:16:04;24739;Onderhoudsproject;N351-HRB-05.1-05.3;N351-HRB-02.0-05.2;Succes
11:16:04;24866;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24869;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24870;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24871;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24876;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24877;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24779;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24780;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24784;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24785;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24787;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24788;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24789;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24790;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24791;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24792;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24793;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24794;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24795;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24796;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24797;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24798;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24799;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24800;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24801;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24802;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24804;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24806;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24807;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24809;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24810;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24811;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24813;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24815;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24818;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;25076;Onderhoudsproject;N351-HRB-05.1-05.3;N351-HRB-02.0-05.2;Succes
11:16:04;24820;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24821;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24823;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24822;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24826;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24829;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;24830;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;160;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;508;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;534;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;551;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;722;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;724;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;954;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1112;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1181;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1274;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1386;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
11:16:04;1634;Onderhoudsproject;N351-HRB-00.3-05.1;N351-HRB-02.0-05.2;Succes
